  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-08-23 19:26:10.467  
  Recording stop:   ;  2024-08-23 19:47:15.017  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:01.509  ;  59,99               ;  12,075             ;  0,15686             ;  0,67516            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:04.508  ;  60,01               ;  12,075             ;  0,15662             ;  0,67592            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:07.508  ;  60,01               ;  12,071             ;  0,15713             ;  0,67608            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:10.507  ;  60,01               ;  12,075             ;  0,15928             ;  0,67611            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:13.507  ;  60,01               ;  12,076             ;  0,15448             ;  0,67684            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:16.507  ;  60,01               ;  12,078             ;  0,15344             ;  0,67865            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:19.507  ;  60,01               ;  12,075             ;  0,15222             ;  0,67750            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:22.508  ;  60,00               ;  12,074             ;  0,15162             ;  0,67723            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:25.509  ;  60,00               ;  12,076             ;  0,15029             ;  0,67743            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:28.509  ;  60,00               ;  12,078             ;  0,15047             ;  0,67477            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:31.510  ;  59,99               ;  12,084             ;  0,15348             ;  0,67895            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:34.510  ;  59,99               ;  12,080             ;  0,15661             ;  0,67833            
