  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:17:40.514  
  Recording stop:   ;  2024-10-11 19:32:42.026  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:17:40.515  ;  ---                 ;  12.390             ;  0.58063             ;  0.20592             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:17:43.517  ;  ---                 ;  12.391             ;  0.57601             ;  0.20289             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:17:46.518  ;  ---                 ;  12.394             ;  0.57928             ;  0.20651             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:17:49.520  ;  ---                 ;  12.396             ;  0.57761             ;  0.20520             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:17:52.521  ;  59.96               ;  12.396             ;  0.57768             ;  0.20639             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:17:55.522  ;  59.96               ;  12.395             ;  0.57633             ;  0.20538             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:17:58.523  ;  59.96               ;  12.398             ;  0.57707             ;  0.20584             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:01.524  ;  59.97               ;  12.398             ;  0.57829             ;  0.20860             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:04.524  ;  59.98               ;  12.402             ;  0.57823             ;  0.20630             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:07.525  ;  59.98               ;  12.403             ;  0.57642             ;  0.20557             
