  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:17:40.514  
  Recording stop:   ;  2024-10-11 19:32:42.026  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:10.526  ;  59.98               ;  12.399             ;  0.57546             ;  0.20495             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:13.527  ;  59.99               ;  12.401             ;  0.57575             ;  0.20547             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:16.528  ;  59.99               ;  12.402             ;  0.57748             ;  0.20591             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:19.530  ;  59.99               ;  12.401             ;  0.57820             ;  0.20556             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:22.530  ;  59.97               ;  12.399             ;  0.57714             ;  0.20648             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:25.532  ;  59.97               ;  12.401             ;  0.57828             ;  0.20458             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:28.533  ;  59.97               ;  12.404             ;  0.57765             ;  0.20443             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:31.535  ;  59.97               ;  12.402             ;  0.57759             ;  0.20532             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:34.536  ;  59.97               ;  12.403             ;  0.57604             ;  0.20502             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:37.536  ;  59.97               ;  12.403             ;  0.57660             ;  0.20592             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:40.535  ;  59.98               ;  12.409             ;  0.57595             ;  0.20580             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:43.534  ;  59.99               ;  12.407             ;  0.57558             ;  0.20477             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:46.532  ;  59.99               ;  12.405             ;  0.57520             ;  0.20504             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:49.531  ;  59.99               ;  12.408             ;  0.57435             ;  0.20586             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:52.528  ;  60.02               ;  12.408             ;  0.57476             ;  0.20617             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:55.526  ;  60.03               ;  12.407             ;  0.57586             ;  0.20680             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:18:58.525  ;  60.03               ;  12.401             ;  0.57449             ;  0.20617             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:01.523  ;  60.03               ;  12.400             ;  0.57434             ;  0.20555             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:04.522  ;  60.03               ;  12.405             ;  0.57163             ;  0.20465             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:07.520  ;  60.03               ;  12.405             ;  0.57272             ;  0.20635             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:10.518  ;  60.03               ;  12.406             ;  0.57651             ;  0.20517             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:13.517  ;  60.03               ;  12.405             ;  0.58069             ;  0.20465             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:16.515  ;  60.03               ;  12.408             ;  0.57849             ;  0.20615             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:19.514  ;  60.03               ;  12.409             ;  0.57818             ;  0.20513             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:22.512  ;  60.03               ;  12.409             ;  0.57687             ;  0.20605             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:25.511  ;  60.03               ;  12.410             ;  0.57866             ;  0.20708             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:28.510  ;  60.03               ;  12.408             ;  0.57787             ;  0.20521             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:31.510  ;  60.02               ;  12.409             ;  0.57762             ;  0.20661             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:34.509  ;  60.02               ;  12.408             ;  0.57761             ;  0.20760             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:37.508  ;  60.02               ;  12.407             ;  0.57638             ;  0.20875             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:40.508  ;  60.02               ;  12.408             ;  0.57632             ;  0.20615             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:43.508  ;  60.01               ;  12.407             ;  0.57570             ;  0.20696             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:46.508  ;  60.01               ;  12.407             ;  0.57785             ;  0.20621             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:49.508  ;  60.01               ;  12.412             ;  0.57718             ;  0.20568             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:52.508  ;  60.00               ;  12.414             ;  0.57639             ;  0.20562             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:55.507  ;  60.00               ;  12.412             ;  0.57729             ;  0.20638             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:19:58.506  ;  60.00               ;  12.414             ;  0.57666             ;  0.20383             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:01.400  ;  60.00               ;  12.415             ;  0.57826             ;  0.20689             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:02.999  ;  60.01               ;  12.415             ;  0.57743             ;  0.20755             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:05.998  ;  60.01               ;  12.414             ;  0.57547             ;  0.20568             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:08.997  ;  60.01               ;  12.415             ;  0.57663             ;  0.20544             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:11.996  ;  60.02               ;  12.415             ;  0.57660             ;  0.20615             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:14.995  ;  60.02               ;  12.411             ;  0.57731             ;  0.20646             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:17.994  ;  60.02               ;  12.412             ;  0.57967             ;  0.20579             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:20.994  ;  60.02               ;  12.410             ;  0.57704             ;  0.20762             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:23.993  ;  60.01               ;  12.415             ;  0.57824             ;  0.20869             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:26.993  ;  60.01               ;  12.420             ;  0.57832             ;  0.20774             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:29.992  ;  60.01               ;  12.421             ;  0.57859             ;  0.20691             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:32.991  ;  60.01               ;  12.419             ;  0.57883             ;  0.20542             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:35.991  ;  60.01               ;  12.418             ;  0.57753             ;  0.20626             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:38.991  ;  60.01               ;  12.406             ;  0.57725             ;  0.20633             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:41.992  ;  60.00               ;  12.413             ;  0.57598             ;  0.20685             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:44.993  ;  60.00               ;  12.412             ;  0.57814             ;  0.20543             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:47.994  ;  60.00               ;  12.413             ;  0.57824             ;  0.20652             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:50.995  ;  59.99               ;  12.413             ;  0.57710             ;  0.20602             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:53.996  ;  59.98               ;  12.410             ;  0.57652             ;  0.20506             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:56.997  ;  59.98               ;  12.413             ;  0.57718             ;  0.20715             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:20:59.997  ;  59.98               ;  12.414             ;  0.57774             ;  0.20664             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:02.998  ;  59.98               ;  12.416             ;  0.57720             ;  0.20516             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:05.998  ;  59.98               ;  12.418             ;  0.57416             ;  0.20337             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:08.998  ;  59.98               ;  12.416             ;  0.57670             ;  0.20559             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:11.997  ;  59.99               ;  12.419             ;  0.57645             ;  0.21042             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:14.997  ;  60.00               ;  12.418             ;  0.57826             ;  0.20655             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:17.998  ;  60.00               ;  12.418             ;  0.57739             ;  0.20822             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:20.998  ;  60.00               ;  12.423             ;  0.57927             ;  0.20726             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:23.997  ;  60.00               ;  12.423             ;  0.57749             ;  0.20779             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:26.996  ;  60.00               ;  12.415             ;  0.57722             ;  0.20668             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:29.996  ;  60.00               ;  12.419             ;  0.57528             ;  0.20653             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:32.996  ;  60.01               ;  12.416             ;  0.57699             ;  0.20579             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:35.996  ;  60.01               ;  12.417             ;  0.57657             ;  0.20517             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:38.996  ;  60.01               ;  12.414             ;  0.57576             ;  0.20652             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:41.995  ;  60.00               ;  12.416             ;  0.57509             ;  0.20815             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:44.994  ;  60.00               ;  12.415             ;  0.57401             ;  0.20566             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:47.995  ;  60.00               ;  12.416             ;  0.57412             ;  0.20770             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:50.996  ;  60.00               ;  12.415             ;  0.57425             ;  0.20804             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:53.997  ;  60.00               ;  12.417             ;  0.57529             ;  0.20739             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:21:56.998  ;  60.00               ;  12.417             ;  0.57405             ;  0.20590             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:00.000  ;  60.00               ;  12.417             ;  0.57642             ;  0.20803             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:03.001  ;  59.97               ;  12.420             ;  0.57714             ;  0.20816             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:06.002  ;  59.97               ;  12.419             ;  0.57735             ;  0.20677             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:09.003  ;  59.97               ;  12.414             ;  0.57790             ;  0.20759             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:12.003  ;  59.98               ;  12.419             ;  0.57605             ;  0.20797             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:15.004  ;  59.98               ;  12.415             ;  0.57611             ;  0.20587             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:18.005  ;  59.98               ;  12.416             ;  0.57506             ;  0.20565             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:21.005  ;  59.98               ;  12.417             ;  0.57508             ;  0.20758             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:24.005  ;  59.98               ;  12.417             ;  0.57654             ;  0.20641             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:27.004  ;  59.98               ;  12.419             ;  0.57524             ;  0.20732             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:30.004  ;  59.99               ;  12.417             ;  0.57536             ;  0.20640             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:33.003  ;  60.01               ;  12.415             ;  0.57630             ;  0.20670             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:36.002  ;  60.01               ;  12.419             ;  0.57489             ;  0.20685             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:39.000  ;  60.01               ;  12.416             ;  0.57561             ;  0.20661             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:41.999  ;  60.02               ;  12.411             ;  0.57414             ;  0.20590             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:44.998  ;  60.02               ;  12.414             ;  0.57411             ;  0.20547             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:47.997  ;  60.02               ;  12.409             ;  0.57433             ;  0.20650             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:50.997  ;  60.02               ;  12.406             ;  0.57490             ;  0.20547             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:53.997  ;  60.02               ;  12.407             ;  0.57576             ;  0.20395             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:56.998  ;  60.02               ;  12.412             ;  0.57337             ;  0.20710             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:22:59.999  ;  60.02               ;  12.410             ;  0.57523             ;  0.20619             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:03.000  ;  59.99               ;  12.408             ;  0.57436             ;  0.20788             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:06.001  ;  59.99               ;  12.414             ;  0.57569             ;  0.20786             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:09.002  ;  59.99               ;  12.409             ;  0.57594             ;  0.20864             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:12.004  ;  59.98               ;  12.410             ;  0.57490             ;  0.20713             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:15.005  ;  59.98               ;  12.411             ;  0.57425             ;  0.20679             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:18.007  ;  59.98               ;  12.410             ;  0.57477             ;  0.20664             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:21.008  ;  59.97               ;  12.412             ;  0.57639             ;  0.20750             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:24.009  ;  59.97               ;  12.408             ;  0.57756             ;  0.20569             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:27.010  ;  59.97               ;  12.407             ;  0.57569             ;  0.20553             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:30.011  ;  59.97               ;  12.411             ;  0.57554             ;  0.20671             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:33.012  ;  59.98               ;  12.415             ;  0.57570             ;  0.20777             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:36.012  ;  59.98               ;  12.419             ;  0.57543             ;  0.20586             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:39.011  ;  59.98               ;  12.421             ;  0.57548             ;  0.20675             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:42.010  ;  59.99               ;  12.421             ;  0.57533             ;  0.20684             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:45.009  ;  60.00               ;  12.419             ;  0.57578             ;  0.20704             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:48.008  ;  60.00               ;  12.421             ;  0.57622             ;  0.20680             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:51.007  ;  60.01               ;  12.421             ;  0.57651             ;  0.20812             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:54.005  ;  60.02               ;  12.423             ;  0.57678             ;  0.20869             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:23:57.004  ;  60.02               ;  12.420             ;  0.57704             ;  0.20784             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:00.003  ;  60.02               ;  12.421             ;  0.57770             ;  0.20647             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:03.003  ;  60.02               ;  12.418             ;  0.57698             ;  0.20745             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:06.003  ;  60.02               ;  12.416             ;  0.57627             ;  0.20823             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:09.005  ;  60.02               ;  12.415             ;  0.57529             ;  0.20685             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:12.006  ;  59.99               ;  12.416             ;  0.57472             ;  0.20727             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:15.008  ;  59.98               ;  12.414             ;  0.57643             ;  0.20493             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:18.009  ;  59.98               ;  12.415             ;  0.57661             ;  0.20713             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:21.010  ;  59.98               ;  12.413             ;  0.57629             ;  0.20662             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:24.011  ;  59.97               ;  12.418             ;  0.57416             ;  0.20716             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:27.013  ;  59.97               ;  12.420             ;  0.57611             ;  0.20999             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:30.014  ;  59.97               ;  12.423             ;  0.57668             ;  0.20892             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:33.015  ;  59.97               ;  12.421             ;  0.57767             ;  0.20892             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:36.016  ;  59.97               ;  12.421             ;  0.57791             ;  0.20910             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:39.017  ;  59.97               ;  12.417             ;  0.57714             ;  0.20696             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:42.018  ;  59.98               ;  12.420             ;  0.57728             ;  0.20471             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:45.019  ;  59.98               ;  12.426             ;  0.57752             ;  0.20871             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:48.020  ;  59.98               ;  12.423             ;  0.57811             ;  0.20784             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:51.021  ;  59.98               ;  12.429             ;  0.57717             ;  0.20940             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:54.023  ;  59.98               ;  12.427             ;  0.57676             ;  0.20966             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:24:57.024  ;  59.98               ;  12.428             ;  0.57737             ;  0.20810             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:00.025  ;  59.98               ;  12.427             ;  0.57552             ;  0.20890             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:03.026  ;  59.97               ;  12.428             ;  0.57721             ;  0.20860             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:06.026  ;  59.97               ;  12.431             ;  0.57818             ;  0.20850             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:09.027  ;  59.97               ;  12.412             ;  0.57751             ;  0.20918             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:12.027  ;  59.98               ;  12.423             ;  0.57819             ;  0.20943             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:15.028  ;  59.99               ;  12.423             ;  0.57868             ;  0.20838             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:18.028  ;  59.99               ;  12.427             ;  0.57677             ;  0.20970             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:21.028  ;  59.99               ;  12.424             ;  0.57764             ;  0.20830             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:24.029  ;  59.99               ;  12.421             ;  0.57720             ;  0.20556             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:27.030  ;  59.99               ;  12.423             ;  0.57964             ;  0.20504             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:30.031  ;  59.99               ;  12.422             ;  0.57981             ;  0.20868             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:33.033  ;  59.98               ;  12.424             ;  0.58059             ;  0.20873             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:36.034  ;  59.98               ;  12.426             ;  0.58012             ;  0.20765             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:39.035  ;  59.98               ;  12.423             ;  0.58000             ;  0.20883             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:42.036  ;  59.98               ;  12.425             ;  0.57802             ;  0.21040             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:45.036  ;  59.97               ;  12.424             ;  0.58023             ;  0.20926             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:48.037  ;  59.97               ;  12.425             ;  0.57951             ;  0.20875             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:51.037  ;  59.98               ;  12.422             ;  0.57855             ;  0.20951             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:54.036  ;  59.99               ;  12.423             ;  0.58034             ;  0.20663             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:25:57.036  ;  59.99               ;  12.422             ;  0.57881             ;  0.20842             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:00.036  ;  59.99               ;  12.421             ;  0.57927             ;  0.20683             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:03.036  ;  60.00               ;  12.421             ;  0.57794             ;  0.20680             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:06.036  ;  60.00               ;  12.414             ;  0.57758             ;  0.20924             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:09.036  ;  60.00               ;  12.418             ;  0.57739             ;  0.20910             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:12.036  ;  60.00               ;  12.420             ;  0.57704             ;  0.20939             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:15.036  ;  60.00               ;  12.417             ;  0.57751             ;  0.20909             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:18.036  ;  60.00               ;  12.420             ;  0.57708             ;  0.20751             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:26:21.036  ;  60.00               ;  12.421             ;  0.57692             ;  0.20701             
