  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-22 18:36:04.555  
  Recording stop:   ;  2024-10-22 18:51:02.986  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:04.555  ;  ---                 ;  12.451             ;  0.65915             ;  0.35960             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:07.555  ;  ---                 ;  12.449             ;  0.66106             ;  0.36222             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:10.554  ;  ---                 ;  12.453             ;  0.65915             ;  0.36075             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:13.554  ;  ---                 ;  12.456             ;  0.66009             ;  0.36042             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:16.552  ;  ---                 ;  12.457             ;  0.65886             ;  0.36080             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:19.551  ;  ---                 ;  12.456             ;  0.65889             ;  0.36171             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:22.551  ;  60.02               ;  12.444             ;  0.65713             ;  0.36282             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:25.551  ;  60.02               ;  12.440             ;  0.66058             ;  0.36112             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:28.552  ;  60.02               ;  12.439             ;  0.66083             ;  0.36182             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  18:36:31.552  ;  60.01               ;  12.443             ;  0.66253             ;  0.36055             
