  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-06-21 20:06:27.953  
  Recording stop:   ;  2024-06-21 20:26:32.970  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  U N-PE avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:06.961  ;  60,02               ;  12,343             ;  26,006               ;  0,77874             ;  0,26729            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:09.962  ;  60,02               ;  12,341             ;  26,002               ;  0,77747             ;  0,26743            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:12.962  ;  59,99               ;  12,344             ;  26,008               ;  0,77946             ;  0,26722            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:15.962  ;  59,99               ;  12,344             ;  26,009               ;  0,77927             ;  0,26589            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:18.962  ;  59,99               ;  12,344             ;  25,998               ;  0,77800             ;  0,26558            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:21.962  ;  59,99               ;  12,344             ;  26,018               ;  0,77765             ;  0,26247            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:24.962  ;  60,00               ;  12,346             ;  26,021               ;  0,77978             ;  0,26176            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:27.961  ;  60,00               ;  12,347             ;  26,023               ;  0,77922             ;  0,26299            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:30.961  ;  60,00               ;  12,344             ;  26,017               ;  0,77833             ;  0,26500            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:33.960  ;  60,01               ;  12,346             ;  26,019               ;  0,77857             ;  0,26576            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:36.959  ;  60,01               ;  12,345             ;  26,019               ;  0,77930             ;  0,26596            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:39.959  ;  60,01               ;  12,344             ;  26,020               ;  0,78008             ;  0,26537            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:42.958  ;  60,01               ;  12,344             ;  26,017               ;  0,77907             ;  0,26572            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:45.957  ;  60,01               ;  12,344             ;  26,019               ;  0,77755             ;  0,26574            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:48.956  ;  60,01               ;  12,345             ;  26,020               ;  0,77791             ;  0,26742            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:51.956  ;  60,01               ;  12,346             ;  26,023               ;  0,77939             ;  0,26624            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:54.955  ;  60,01               ;  12,345             ;  26,023               ;  0,77864             ;  0,26553            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:08:57.954  ;  60,01               ;  12,344             ;  26,014               ;  0,77861             ;  0,26675            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:00.953  ;  60,01               ;  12,345             ;  26,023               ;  0,77890             ;  0,26587            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:03.952  ;  60,02               ;  12,346             ;  26,021               ;  0,77811             ;  0,26531            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:06.951  ;  60,02               ;  12,346             ;  26,022               ;  0,78083             ;  0,26609            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:09.950  ;  60,02               ;  12,348             ;  26,030               ;  0,77884             ;  0,26552            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:12.950  ;  60,02               ;  12,345             ;  26,027               ;  0,77840             ;  0,26469            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:15.949  ;  60,02               ;  12,344             ;  26,025               ;  0,77887             ;  0,26405            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:18.949  ;  60,02               ;  12,341             ;  26,015               ;  0,77920             ;  0,26388            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:21.949  ;  60,01               ;  12,342             ;  26,016               ;  0,77847             ;  0,26380            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:24.949  ;  60,01               ;  12,340             ;  26,015               ;  0,77897             ;  0,26387            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:27.950  ;  60,01               ;  12,338             ;  26,030               ;  0,77711             ;  0,26532            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:30.951  ;  60,00               ;  12,337             ;  26,032               ;  0,77709             ;  0,26586            
