  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:59:02.586  
  Recording stop:   ;  2024-10-11 20:13:59.975  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:50.993  ;  60.01               ;  12.415             ;  0.58762             ;  0.31922            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:53.992  ;  60.02               ;  12.416             ;  0.58895             ;  0.31835            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:56.991  ;  60.02               ;  12.416             ;  0.58816             ;  0.31873            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:59.989  ;  60.02               ;  12.416             ;  0.58840             ;  0.31873            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:02.988  ;  60.02               ;  12.418             ;  0.58849             ;  0.31934            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:05.987  ;  60.02               ;  12.419             ;  0.59018             ;  0.31814            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:08.986  ;  60.02               ;  12.414             ;  0.58821             ;  0.31790            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:11.986  ;  60.02               ;  12.416             ;  0.58883             ;  0.31741            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:14.985  ;  60.02               ;  12.416             ;  0.58880             ;  0.31656            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:17.985  ;  60.02               ;  12.414             ;  0.58793             ;  0.31759            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:20.984  ;  60.02               ;  12.401             ;  0.58558             ;  0.31736            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:23.984  ;  60.01               ;  12.411             ;  0.58852             ;  0.31531            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:26.984  ;  60.01               ;  12.414             ;  0.58880             ;  0.31531            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:29.984  ;  60.01               ;  12.414             ;  0.58758             ;  0.31834            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:32.985  ;  60.00               ;  12.414             ;  0.58801             ;  0.31718            
