"","Frecuencia","TVSec(V)","ISec(A)","Iprim(A)","TNucleoSup","TDevPrim","TDevSec","Tambiente","V_In","Estado"
"67",60.03,12.181,0.6776,0.22104,26.87,25.25,24.81,24.94,119.9,"Bueno"
"68",60.03,12.182,0.68068,0.22317,26.94,25.19,24.81,24.94,119.9,"Bueno"
"69",60.04,12.181,0.67981,0.22226,26.94,25.25,24.81,24.87,119.9,"Bueno"
"70",60.04,12.18,0.67982,0.22242,26.94,25.25,24.81,24.87,119.9,"Bueno"
"71",60.04,12.182,0.6775,0.22228,26.94,25.25,24.81,24.94,119.9,"Bueno"
"72",60.03,12.181,0.67729,0.22204,26.94,25.25,24.81,24.87,119.9,"Bueno"
"73",60.03,12.184,0.67916,0.22388,26.94,25.25,24.81,24.87,119.9,"Bueno"
"74",60.03,12.188,0.67884,0.22113,26.94,25.25,24.81,24.87,119.9,"Bueno"
"75",60.02,12.183,0.67903,0.22253,26.94,25.25,24.81,24.87,119.9,"Bueno"
"76",60.02,12.181,0.67875,0.22273,27,25.25,24.81,24.87,119.9,"Bueno"
"77",60.02,12.175,0.67821,0.22181,27,25.25,24.81,24.87,119.9,"Bueno"
"78",60.01,12.176,0.67663,0.22124,27,25.31,24.87,24.87,119.9,"Bueno"
"79",60,12.174,0.67541,0.22164,27.06,25.25,24.81,24.94,119.9,"Bueno"
"80",60,12.174,0.67734,0.22166,27.06,25.31,24.87,24.87,119.9,"Bueno"
"81",60.01,12.173,0.68004,0.22033,27.06,25.25,24.81,24.87,119.9,"Bueno"
"82",60.01,12.174,0.67878,0.22167,27.06,25.25,24.81,24.87,119.9,"Bueno"
"83",60.01,12.175,0.67885,0.22076,27.06,25.31,24.81,24.87,119.9,"Bueno"
"84",60.01,12.179,0.67778,0.22158,27.12,25.25,24.87,24.87,119.9,"Bueno"
"85",60.01,12.178,0.67601,0.21937,27.12,25.25,24.87,24.87,119.9,"Bueno"
"86",60.01,12.178,0.67668,0.2246,27.12,25.25,24.87,24.87,119.9,"Bueno"
"87",60.01,12.176,0.67641,0.22239,27.12,25.31,24.87,24.87,119.9,"Bueno"
"88",60.02,12.176,0.67708,0.22182,27.19,25.31,24.81,24.87,119.9,"Bueno"
"89",60.02,12.169,0.67714,0.22228,27.19,25.25,24.81,24.87,119.9,"Bueno"
"90",60.02,12.171,0.67757,0.22252,27.19,25.25,24.81,24.81,119.9,"Bueno"
"91",60.02,12.17,0.67829,0.22302,27.19,25.31,24.87,24.87,119.9,"Bueno"
"92",60.01,12.174,0.67723,0.22446,27.25,25.25,24.87,24.87,119.9,"Bueno"
"93",60.01,12.174,0.67839,0.22274,27.25,25.25,24.87,24.87,119.9,"Bueno"
"94",60.01,12.177,0.67932,0.22395,27.31,25.31,24.87,24.87,119.9,"Bueno"
"95",60.01,12.171,0.67502,0.22478,27.31,25.31,24.87,24.87,119.9,"Bueno"
"96",60.02,12.167,0.67623,0.22414,27.25,25.25,24.87,24.87,119.9,"Bueno"
"97",60.02,12.166,0.67888,0.22267,27.25,25.25,24.87,24.87,119.9,"Bueno"
"98",60.01,12.168,0.67518,0.22386,27.31,25.25,24.87,24.81,119.9,"Bueno"
"99",60,12.17,0.6771,0.22341,27.31,25.31,24.87,24.87,119.9,"Bueno"
"100",60,12.159,0.67674,0.22245,27.31,25.31,24.87,24.87,119.9,"Bueno"
"101",60,12.166,0.67545,0.22237,27.37,25.31,24.87,24.81,119.9,"Bueno"
"102",59.99,12.167,0.67553,0.22368,27.37,25.25,24.94,24.81,119.9,"Bueno"
"103",59.99,12.168,0.67293,0.22294,27.37,25.25,24.87,24.87,119.9,"Bueno"
"104",59.99,12.168,0.67596,0.22257,27.37,25.31,24.94,24.87,119.9,"Bueno"
"105",59.98,12.166,0.67384,0.22295,27.37,25.31,24.94,24.87,119.9,"Bueno"
"106",59.98,12.167,0.67583,0.22365,27.44,25.31,24.94,24.87,119.9,"Bueno"
"107",59.98,12.167,0.67465,0.22435,27.44,25.25,24.94,24.87,119.9,"Bueno"
"108",59.97,12.168,0.67385,0.2233,27.5,25.31,24.94,24.87,119.9,"Bueno"
"109",59.97,12.167,0.67429,0.22357,27.44,25.31,24.94,24.87,119.9,"Bueno"
